c1_category,c2_category,leaf_category
Pneumatic Component,Solenoid Valve,Hand Shut Off Valve 1/2 INCH
Pneumatic Component,Solenoid Valve,Hand Shut Off ValveE 5/8 INCH
Copper & Brass Fitting,Copper Fittings,Copper Reducer 1 5/8 X 1 3/8 INCH
Valve,Bal Valve,BALL VALVE BRAZING TYPE 1 5/8 INCH
Valve,Solenoid Valve,"Ball Valve, Refrigerator, 1-5/8 Inch Size, Full Port, Access"
Valve,Solenoid Valve,2/2 Type G1/4 Pilot Operated Solenoid Valve
Heat Sink,Heat Sink Compound,Heat Sink Compound 500gm
Fastners,Nut-Bolt,SS Countersunk Allen Bolt
Copper,Copper Strips,"25 X 3 mm Copper Strip, For Electrical"
Fastners,Nut-Bolt,"Allen Bolt M6 x 35mm, Socket Head Cap Screws"
Fastners,Nut-Bolt,M6 Thread Locking Nylon Insert Lock Nut
Fastners,Nut-Bolt,Rustproof Stainless Steel Threaded Rod M12
Harmony,Monolithic Pilot Light,"XB7 Monolithic Pilot Light 22 mm, Blue, 24 V AC/DC, Direct Integral LED"
Relay,Universal Relay,Relay Plug-In 4PDT 6A 120VAC
Fastners,Nut-Bolt,SS M6 Stainless Steel Threaded Rod
Low Voltage Switch Gear,MCCB,Molded Case Circuit Breakers (MCCB)
Pneumatic Component,Compact Cylinder,Thin Type Cylinder ACQ Series
Low Voltage Switch Gear,Power Contactors,Auxiliary contact blocks UN-AX2 Series
Connectors,END Cap,1/2 Inch BSPF
Low Voltage Switch Gear,MCCB,Molded Case Circuit Breakers- WS-V Series Control Panel
Duct Channel,PVC Channel Wiring Duct,PVC Channel 60 x 25 Wiring Duct narrow slot
Connectors,Connectors & Accessories,"DIN RAIL STOP, BN Series Terminal Block"
Pneumatic Component,Solenoid Valve,Brass Electric Normal Closed Solenoid Valve For Water Air Gas Oil
Relay,Phase Failure Relay,"Phase Failure Relay, 2 CO"
Fastners,Nut-Bolt,M6 MS Threaded Rod
Low Voltage Switch Gear,Contactors,TeSys Deca contactors
Low Voltage Switch Gear,MCCB,"circuit breaker Compact NSX250B, 25 kA at 415 VAC"
Low Voltage Switch Gear,MCCB,"LV429554 Product picture Schneider Electric
 circuit breaker Compact NSX100B"
Low Voltage Switch Gear,Accessory For MCCB,"EasyPact CVS Accessory,29450,1 AUX.SWITCH C/O CONTACT OF/SDE/SDVNS80"
