c1_category,c2_category,leaf_category
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 9 Amp, 1NC"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 9 Amp, 1NO"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 12 Amp, 1NC"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 12 Amp, 1NO"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 18 Amp, 1NC"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 18 Amp, 1NO"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 25 Amp, 1NC"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 25 Amp, 1NO"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 32 Amp"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 40 Amp"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 50 Amp"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 65 Amp"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 80 Amp"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 95 Amp"
Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 105 Amp"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 7 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 7 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 9 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 9 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 12 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 12 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 16 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with AC Coil, 16 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 7 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 7 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 9 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 9 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 12 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 12 Amp, 1NO"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 16 Amp, 1NC"
Low Voltage Switch Gear,HGSCM,"3 Pole Mini Contactors with DC Coil, 16 Amp, 1NO"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with AC Coil, 16 Amp, 2NO, 2NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with AC Coil, 16 Amp, 3NO, 1NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with AC Coil, 16 Amp, 4NO"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with AC Coil, 16 Amp, 4NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with AC Coil, 16 Amp, 1NO, 3NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with DC Coil, 16 Amp, 2NO, 2NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with DC Coil, 16 Amp, 3NO, 1NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with DC Coil, 16 Amp, 4NO"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with DC Coil, 16 Amp, 4NC"
Low Voltage Switch Gear,HGSCR,"3 Pole Mini Control Relay with DC Coil, 16 Amp, 1NO, 3NC"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Side Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Side Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Side Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Side Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Front Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Front Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Front Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Aux Contact Block (Front Mounting)"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Mechanical Interlock Unit"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Mechanical + Electrical Interlock Unit"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Surge Suppressor Type RC"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Surge Suppressor Type RC"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Surge Suppressor Type RC"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Surge Suppressor Type RC"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Surge Suppressor Type RC"
Low Voltage Switch Gear,Accessories for HGSCD,"3 Pole DC, Mini Contactor Accessories, Surge Suppressor Type RC"
Low Voltage Switch Gear,Accessories for HGSCD,Spare Coils - For HGCDS 9 to HGSCD 25 Contactors
Low Voltage Switch Gear,Accessories for HGSCD,Spare Coils - For HGCDS 9 to HGSCD 25 Contactors
