name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells IHPDB009101-HGSCD, 3 Pole, DC Contactor, 9 Amp, 1NC, 9 Amp, HGSCD 9-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 9 Amp, 1NC",IHPDB009101,,IHPDB009101,,2426,Piece,Each,1,"Havells IHPDB009101-HGSCD, 3 Pole, DC Contactor, 9 Amp, 1NC, 9 Amp, HGSCD 9-Type",,,,,,Rated Current In [A],9 Amp,Pole,3,Type,HGSCD 9,Aux. Contacts,1NC,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB009110-HGSCD, 3 Pole, DC Contactor, 9 Amp, 1NO, 9 Amp, HGSCD 9-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 9 Amp, 1NO",IHPDB009110,,IHPDB009110,,2426,Piece,Each,1,"Havells IHPDB009110-HGSCD, 3 Pole, DC Contactor, 9 Amp, 1NO, 9 Amp, HGSCD 9-Type",,,,,,Rated Current In [A],9 Amp,Pole,3,Type,HGSCD 9,Aux. Contacts,1NO,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB012101-HGSCD, 3 Pole, DC Contactor, 12 Amp, 1NC, 12 Amp, HGSCD 12-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 12 Amp, 1NC",IHPDB012101,,IHPDB012101,,2693,Piece,Each,1,"Havells IHPDB012101-HGSCD, 3 Pole, DC Contactor, 12 Amp, 1NC, 12 Amp, HGSCD 12-Type",,,,,,Rated Current In [A],12 Amp,Pole,3,Type,HGSCD 12,Aux. Contacts,1NC,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB012110-HGSCD, 3 Pole, DC Contactor, 12 Amp, 1NO, 12 Amp, HGSCD 12-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 12 Amp, 1NO",IHPDB012110,,IHPDB012110,,2693,Piece,Each,1,"Havells IHPDB012110-HGSCD, 3 Pole, DC Contactor, 12 Amp, 1NO, 12 Amp, HGSCD 12-Type",,,,,,Rated Current In [A],12 Amp,Pole,3,Type,HGSCD 12,Aux. Contacts,1NO,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB018101-HGSCD, 3 Pole, DC Contactor, 18 Amp, 1NC, 18 Amp, HGSCD 18-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 18 Amp, 1NC",IHPDB018101,,IHPDB018101,,3069,Piece,Each,1,"Havells IHPDB018101-HGSCD, 3 Pole, DC Contactor, 18 Amp, 1NC, 18 Amp, HGSCD 18-Type",,,,,,Rated Current In [A],18 Amp,Pole,3,Type,HGSCD 18,Aux. Contacts,1NC,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB018110-HGSCD, 3 Pole, DC Contactor, 18 Amp, 1NO, 18 Amp, HGSCD 18-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 18 Amp, 1NO",IHPDB018110,,IHPDB018110,,3069,Piece,Each,1,"Havells IHPDB018110-HGSCD, 3 Pole, DC Contactor, 18 Amp, 1NO, 18 Amp, HGSCD 18-Type",,,,,,Rated Current In [A],18 Amp,Pole,3,Type,HGSCD 18,Aux. Contacts,1NO,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB025101-HGSCD, 3 Pole, DC Contactor, 25 Amp, 1NC, 25 Amp, HGSCD 25-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 25 Amp, 1NC",IHPDB025101,,IHPDB025101,,4515,Piece,Each,1,"Havells IHPDB025101-HGSCD, 3 Pole, DC Contactor, 25 Amp, 1NC, 25 Amp, HGSCD 25-Type",,,,,,Rated Current In [A],25 Amp,Pole,3,Type,HGSCD 25,Aux. Contacts,1NC,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB025110-HGSCD, 3 Pole, DC Contactor, 25 Amp, 1NO, 25 Amp, HGSCD 25-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 25 Amp, 1NO",IHPDB025110,,IHPDB025110,,4515,Piece,Each,1,"Havells IHPDB025110-HGSCD, 3 Pole, DC Contactor, 25 Amp, 1NO, 25 Amp, HGSCD 25-Type",,,,,,Rated Current In [A],25 Amp,Pole,3,Type,HGSCD 25,Aux. Contacts,1NO,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB032200-HGSCD, 3 Pole, DC Contactor, 32 Amp, 32 Amp, HGSCD 32-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 32 Amp",IHPDB032200,,IHPDB032200,,8742,Piece,Each,1,"Havells IHPDB032200-HGSCD, 3 Pole, DC Contactor, 32 Amp, 32 Amp, HGSCD 32-Type",,,,,,Rated Current In [A],32 Amp,Pole,3,Type,HGSCD 32,,,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHPDB040200-HGSCD, 3 Pole, DC Contactor, 40 Amp, 40 Amp, HGSCD 40-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,HGSCD,"3 Pole, DC Contactor, 40 Amp",IHPDB040200,,IHPDB040200,,12207,Piece,Each,1,"Havells IHPDB040200-HGSCD, 3 Pole, DC Contactor, 40 Amp, 40 Amp, HGSCD 40-Type",,,,,,Rated Current In [A],40 Amp,Pole,3,Type,HGSCD 40,,,,,,,,,,,,,,,,,1726573448-Product-IHPDB009101..PNG,,8536,18%,,,,,,,,,1,08-10 Days,
