c1_category,c2_category,leaf_category
Display Unit,Human Machine Interface (HMI),"4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host"
Display Unit,Human Machine Interface (HMI),"4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port"
Display Unit,Human Machine Interface (HMI),"7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port"
Display Unit,Human Machine Interface (HMI),"7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host"
Display Unit,Human Machine Interface (HMI),"10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port"
Display Unit,Human Machine Interface (HMI),"10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host"
Digital Time Switches,Time Switch,"12 VDC, Digital Time Switch – Pulse, 1 C/O"
Digital Time Switches,Time Switch,"24 VDC, Digital Time Switch – Pulse, 1 C/O"
Digital Time Switches,Time Switch,"110 – 240 VAC, Digital Time Switch – Pulse, 1 C/O"
Digital Time Switches,Time Switch,"12 VDC, Digital Time Switch – Crono, 1 C/O"
Digital Time Switches,Time Switch,"24 VDC, Digital Time Switch – Crono, 1 C/O"
Digital Time Switches,Time Switch,"110 – 240 VAC, Digital Time Switch – Crono, 1 C/O"
Digital Time Switches,Time Switch,"240 VAC, Digital Time Switch – Crono Pro, 1 C/O"
Digital Time Switches,Time Switch,"110-240 VAC, Digital Time Switch – Crono Pro, 2 C/O"
Digital Time Switches,Time Switch,"240 VAC, Daily Dial, Base / DIN Mounting*"
Digital Time Switches,Time Switch,"110 VAC, Daily Dial, Base / DIN Mounting*"
Digital Time Switches,Time Switch,"240 VAC, Weekly Dial, Base / DIN Mounting*"
Digital Time Switches,Time Switch,"110 VAC, Weekly Dial, Base / DIN Mounting*"
Digital Time Switches,Time Switch,"240 VAC, Daily Dial, Flush Mounting*"
Digital Time Switches,Time Switch,"240 VAC, Weekly Dial, Flush Mounting**"
Digital Time Switches,Time Switch,"110 VAC, Daily Dial, Flush Mounting**"
Digital Time Switches,Time Switch,"110 VAC, Weekly Dial, Flush Mounting*"
