name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"GIC HM104B-0000- 4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host",GIC,Factory Automation,Display Unit,Human Machine Interface (HMI),"4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host",HM104B-0000,,HM104B-0000,,,Piece,Each,1,"GIC HM104B-0000- 4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host",,,,,,Size,4.3,Ethernet,Without Eathernet,Voltage Rating,24VDC,Display Type,TFT,,,,,,,,,,,,,,,1726481655-Product-hmi panel.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC HM104B-N000- 4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",GIC,Factory Automation,Display Unit,Human Machine Interface (HMI),"4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",HM104B-N000,,HM104B-N000,,,Piece,Each,1,"GIC HM104B-N000- 4.3” TFT Display, 24VDC, 2 Serial ports*(1 RS232/RS485, 1 RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",,,,,,Size,4.3,Ethernet,With Eathernet,Voltage Rating,24VDC,Display Type,TFT,,,,,,,,,,,,,,,1726481655-Product-hmi panel.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC HM107B-N000- 7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",GIC,Factory Automation,Display Unit,Human Machine Interface (HMI),"7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",HM107B-N000,,HM107B-N000,,,Piece,Each,1,"GIC HM107B-N000- 7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",,,,,,Size,7,Ethernet,With Eathernet,Voltage Rating,24VDC,Display Type,TFT,,,,,,,,,,,,,,,1726481655-Product-hmi panel.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC HM107B-0000- 7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host",GIC,Factory Automation,Display Unit,Human Machine Interface (HMI),"7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host",HM107B-0000,,HM107B-0000,,,Piece,Each,1,"GIC HM107B-0000- 7” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host",,,,,,Size,7,Ethernet,Without Eathernet,Voltage Rating,24VDC,Display Type,TFT,,,,,,,,,,,,,,,1726481655-Product-hmi panel.PNG,,,18%,,,,,,,,,1,10-12 Days,
"HM110B-N000- 10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",GIC,Factory Automation,Display Unit,Human Machine Interface (HMI),"10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",HM110B-N000,,HM110B-N000,,,Piece,Each,1,"HM110B-N000- 10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host, 1 SD Card Slot, 1 Ethernet Port",,,,,,Size,10.1,Ethernet,With Eathernet,Voltage Rating,24VDC,Display Type,TFT,,,,,,,,,,,,,,,1726481655-Product-hmi panel.PNG,,,18%,,,,,,,,,1,10-12 Days,
"HM110B-0000- 10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host",GIC,Factory Automation,Display Unit,Human Machine Interface (HMI),"10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host",HM110B-0000,,HM110B-0000,,,Piece,Each,1,"HM110B-0000- 10.1” TFT Display, 24VDC, 2 Serial ports (1 RS232/RS485, 1 RS232/RS422/RS485), 1 USB Slave, 1 USB Host",,,,,,Size,10.1,Ethernet,Without Eathernet,Voltage Rating,24VDC,Display Type,TFT,,,,,,,,,,,,,,,1726481655-Product-hmi panel.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC 69HDT9-12 VDC, Digital Time Switch – Pulse, 1 C/O",GIC,Panel & Panel Accessories,Digital Time Switches,Time Switch,"12 VDC, Digital Time Switch – Pulse, 1 C/O",69HDT9,,69HDT9,,,Piece,Each,1,"GIC 69HDT9-12 VDC, Digital Time Switch – Pulse, 1 C/O",,,,,,Supply Voltage,12 V DC,Mode,Pulse,Mounting,Base/Din,Relay,1 C/O,No. Of Programs,16,Display,LCD,Power Reserve,6 Years,Contact Rating,16 A,,,,,,,1726565433-Product-1 GIC.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC 6GHDT9-24 VDC, Digital Time Switch – Pulse, 1 C/O",GIC,Panel & Panel Accessories,Digital Time Switches,Time Switch,"24 VDC, Digital Time Switch – Pulse, 1 C/O",6GHDT9,,6GHDT9,,,Piece,Each,1,"GIC 6GHDT9-24 VDC, Digital Time Switch – Pulse, 1 C/O",,,,,,Supply Voltage,24 V DC,Mode,Pulse,Mounting,Base/Din,Relay,1 C/O,No. Of Programs,16,Display,LCD,Power Reserve,6 Years,Contact Rating,16 A,,,,,,,1726565433-Product-1 GIC.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC 67DDT9-110 – 240 VAC, Digital Time Switch – Pulse, 1 C/O",GIC,Panel & Panel Accessories,Digital Time Switches,Time Switch,"110 – 240 VAC, Digital Time Switch – Pulse, 1 C/O",67DDT9,,67DDT9,,,Piece,Each,1,"GIC 67DDT9-110 – 240 VAC, Digital Time Switch – Pulse, 1 C/O",,,,,,Supply Voltage,110 – 240 VAC,Mode,Pulse,Mounting,Base/Din,Relay,1 C/O,No. Of Programs,16,Display,LCD,Power Reserve,6 Years,Contact Rating,16 A,,,,,,,1726565433-Product-1 GIC.PNG,,,18%,,,,,,,,,1,10-12 Days,
"GIC 69HDT0-12 VDC, Digital Time Switch – Crono, 1 C/O",GIC,Panel & Panel Accessories,Digital Time Switches,Time Switch,"12 VDC, Digital Time Switch – Crono, 1 C/O",69HDT0,,69HDT0,,,Piece,Each,1,"GIC 69HDT0-12 VDC, Digital Time Switch – Crono, 1 C/O",,,,,,Supply Voltage,12 V DC,Mode,Daily/Weekly,Mounting,Base/Din,Relay,1 C/O,No. Of Programs,25,Display,LCD,Power Reserve,6 Years,Contact Rating,16 A,,,,,,,1726573204-Product-2 GIC.PNG,,,18%,,,,,,,,,1,10-12 Days,
