name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells IHHMPBA2A0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.1 A - 0.16 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBA2A0,,IHHMPBA2A0,,2847,Piece,Each,1,"Havells IHHMPBA2A0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.1 A - 0.16 A, 415 V",,,,,,Current Rating [A],0.1 A - 0.16 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBB2B0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.16 A - 0.25 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBB2B0,,IHHMPBB2B0,,2847,Piece,Each,1,"Havells IHHMPBB2B0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.16 A - 0.25 A, 415 V",,,,,,Current Rating [A],0.16 A - 0.25 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBC2D0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.25 A - 0.4 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBC2D0,,IHHMPBC2D0,,2847,Piece,Each,1,"Havells IHHMPBC2D0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.25 A - 0.4 A, 415 V",,,,,,Current Rating [A],0.25 A - 0.4 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBD2E0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.4 A - 0.63 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBD2E0,,IHHMPBD2E0,,3228,Piece,Each,1,"Havells IHHMPBD2E0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.4 A - 0.63 A, 415 V",,,,,,Current Rating [A],0.4 A - 0.63 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBE2F0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.63 A - 1 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBE2F0,,IHHMPBE2F0,,3228,Piece,Each,1,"Havells IHHMPBE2F0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 0.63 A - 1 A, 415 V",,,,,,Current Rating [A],0.63 A - 1 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBF2G0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 1 A - 1.6 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBF2G0,,IHHMPBF2G0,,3253,Piece,Each,1,"Havells IHHMPBF2G0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 1 A - 1.6 A, 415 V",,,,,,Current Rating [A],1 A - 1.6 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBG2R0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 1.6 A - 2.5 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBG2R0,,IHHMPBG2R0,,3253,Piece,Each,1,"Havells IHHMPBG2R0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 1.6 A - 2.5 A, 415 V",,,,,,Current Rating [A],1.6 A - 2.5 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBH2I0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 2.5 A - 4 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBH2I0,,IHHMPBH2I0,,3370,Piece,Each,1,"Havells IHHMPBH2I0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 2.5 A - 4 A, 415 V",,,,,,Current Rating [A],2.5 A - 4 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBJ2J0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 4 A - 6.3 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBJ2J0,,IHHMPBJ2J0,,3370,Piece,Each,1,"Havells IHHMPBJ2J0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 4 A - 6.3 A, 415 V",,,,,,Current Rating [A],4 A - 6.3 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHHMPBK2K0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 6.3 A - 10 A, 415 V",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Motor Protection Circuit Breaker,Thermal Magnetic Series - HGSM,IHHMPBK2K0,,IHHMPBK2K0,,3603,Piece,Each,1,"Havells IHHMPBK2K0-Motor Protection Circuit Breaker, Thermal Magnetic Series - HGSM, 6.3 A - 10 A, 415 V",,,,,,Current Rating [A],6.3 A - 10 A,Capacity [kA],100,Frame,1,Rated Voltage In [V],415 V,Frequency,50 Hz,Model,HGSM,,,,,,,,,,,1726649726-Product-IHHMPBA2A0.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
