name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Connectwell CBB185LSR- Shorting Links & Jumpers, 185 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB185LSR,,CBB185LSR,768.7,7687,Piece,(Pack of 10),1,"Connectwell CBB185LSR- Shorting Links & Jumpers, 185 mm² (Pack of 10)",,,,,,Size,185 mm²,Type of Product,185 mm² FEED THRU Slotted Bolt TB RED,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB185R- Shorting Links & Jumpers, 185 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB185R,,CBB185R,768.7,7687,Piece,(Pack of 10),1,"Connectwell CBB185R- Shorting Links & Jumpers, 185 mm² (Pack of 10)",,,,,,Size,185 mm²,Type of Product,185 mm² FEED THRU BOLT/NUT TB RED,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB185Y- Shorting Links & Jumpers, 185 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB185Y,,CBB185Y,768.7,7687,Piece,(Pack of 10),1,"Connectwell CBB185Y- Shorting Links & Jumpers, 185 mm² (Pack of 10)",,,,,,Size,185 mm²,Type of Product,185 mm² FEED THRU BOLT/NUT TB YELLOW,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50,,CBB35/50,152.7,1527,Piece,(Pack of 10),1,"Connectwell CBB35/50- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FD THRU BOLT/NUT Terminal BLOCK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50BK- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50BK,,CBB35/50BK,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50BK- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU BOLT/NUT TB BLACK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50BU- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50BU,,CBB35/50BU,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50BU- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU BOLT/NUT TB BLUE,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50GN- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50GN,,CBB35/50GN,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50GN- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU BOLT/NUT TB GREEN,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50LS- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50LS,,CBB35/50LS,152.7,1527,Piece,(Pack of 10),1,"Connectwell CBB35/50LS- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU Slotted Bolt Terminal,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50LSBK- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50LSBK,,CBB35/50LSBK,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50LSBK- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU Slotted Bolt TB BLACK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50LSBU- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50LSBU,,CBB35/50LSBU,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50LSBU- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU Slotted Bolt TB BLUE,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50LSR- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50LSR,,CBB35/50LSR,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50LSR- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU Slotted Bolt TB RED,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50LSY- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50LSY,,CBB35/50LSY,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50LSY- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU Slotted Bolt TB YELLOW,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50R- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50R,,CBB35/50R,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50R- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU BOLT/NUT TB RED,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB35/50Y- Shorting Links & Jumpers, 50 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB35/50Y,,CBB35/50Y,168,1680,Piece,(Pack of 10),1,"Connectwell CBB35/50Y- Shorting Links & Jumpers, 50 mm² (Pack of 10)",,,,,,Size,50 mm²,Type of Product,50 mm² FEED THRU BOLT/NUT TB YELLOW,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70,,CBB70,306.4,3064,Piece,(Pack of 10),1,"Connectwell CBB70- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FD THRU BOLT/NUT Terminal BLOCK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70BK- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70BK,,CBB70BK,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70BK- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU BOLT/NUT TB BLACK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70BU- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70BU,,CBB70BU,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70BU- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU BOLT/NUT TB BLUE,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70GN- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70GN,,CBB70GN,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70GN- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU BOLT/NUT TB GREEN,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70LS- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70LS,,CBB70LS,306.4,3064,Piece,(Pack of 10),1,"Connectwell CBB70LS- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU Slotted Bolt Terminal,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70LSBK- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70LSBK,,CBB70LSBK,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70LSBK- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU Slotted Bolt TB BLACK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70LSBU- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70LSBU,,CBB70LSBU,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70LSBU- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU Slotted Bolt TB BLUE,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70LSR- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70LSR,,CBB70LSR,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70LSR- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU Slotted Bolt TB RED,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70LSY- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70LSY,,CBB70LSY,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70LSY- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU Slotted Bolt TB YELLOW,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70R- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70R,,CBB70R,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70R- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU BOLT/NUT TB RED,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB70Y- Shorting Links & Jumpers, 70 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB70Y,,CBB70Y,337,3370,Piece,(Pack of 10),1,"Connectwell CBB70Y- Shorting Links & Jumpers, 70 mm² (Pack of 10)",,,,,,Size,70 mm²,Type of Product,70 mm² FEED THRU BOLT/NUT TB YELLOW,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB95- Shorting Links & Jumpers, 95 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB95,,CBB95,315,3150,Piece,(Pack of 10),1,"Connectwell CBB95- Shorting Links & Jumpers, 95 mm² (Pack of 10)",,,,,,Size,95 mm²,Type of Product,95 mm² FD THRU BOLT/NUT Terminal BLOCK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB95BK- Shorting Links & Jumpers, 95 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB95BK,,CBB95BK,346.5,3465,Piece,(Pack of 10),1,"Connectwell CBB95BK- Shorting Links & Jumpers, 95 mm² (Pack of 10)",,,,,,Size,95 mm²,Type of Product,95 mm² FEED THRU BOLT/NUT TB BLACK,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB95BU- Shorting Links & Jumpers, 95 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB95BU,,CBB95BU,346.5,3465,Piece,(Pack of 10),1,"Connectwell CBB95BU- Shorting Links & Jumpers, 95 mm² (Pack of 10)",,,,,,Size,95 mm²,Type of Product,95 mm² FEED THRU BOLT/NUT TB BLUE,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB95GN- Shorting Links & Jumpers, 95 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB95GN,,CBB95GN,346.5,3465,Piece,(Pack of 10),1,"Connectwell CBB95GN- Shorting Links & Jumpers, 95 mm² (Pack of 10)",,,,,,Size,95 mm²,Type of Product,95 mm² FEED THRU BOLT/NUT TB GREEN,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB95LS- Shorting Links & Jumpers, 95 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB95LS,,CBB95LS,315,3150,Piece,(Pack of 10),1,"Connectwell CBB95LS- Shorting Links & Jumpers, 95 mm² (Pack of 10)",,,,,,Size,95 mm²,Type of Product,95 mm² FEED THRU Slotted Bolt Terminal,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CBB95LSBU- Shorting Links & Jumpers, 95 mm² (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CBB95LSBU,,CBB95LSBU,346.5,3465,Piece,(Pack of 10),1,"Connectwell CBB95LSBU- Shorting Links & Jumpers, 95 mm² (Pack of 10)",,,,,,Size,95 mm²,Type of Product,95 mm² FEED THRU Slotted Bolt TB BLU,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
