name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Standard DSDNSHODXW04-PS plus Double Door SP&N-IP 42 With SS Enclosures, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door SP&N-IP 42 With SS Enclosures, 4 Way",DSDNSHODXW04,,DSDNSHODXW04,,1531,Piece,8 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726737018-Product-power hell.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNSHODXW06-PS plus Double Door SP&N-IP 42 With SS Enclosures, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door SP&N-IP 42 With SS Enclosures, 6 Way",DSDNSHODXW06,,DSDNSHODXW06,,1715,Piece,6 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726737018-Product-power hell.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNSHODXW08-PS plus Double Door SP&N-IP 42 With SS Enclosures, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door SP&N-IP 42 With SS Enclosures, 8 Way",DSDNSHODXW08,,DSDNSHODXW08,,1828,Piece,6 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,8 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726737018-Product-power hell.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNSHODXW12-PS plus Double Door SP&N-IP 42 With SS Enclosures, 12 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door SP&N-IP 42 With SS Enclosures, 12 Way",DSDNSHODXW12,,DSDNSHODXW12,,2261,Piece,4 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,12 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726737018-Product-power hell.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNSHODXW16-PS plus Double Door SP&N-IP 42 With SS Enclosures, 16 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door SP&N-IP 42 With SS Enclosures, 16 Way",DSDNSHODXW16,,DSDNSHODXW16,,3148,Piece,4 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,16 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726737018-Product-power hell.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNTHODXW04-PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 4 Way",DSDNTHODXW04,,DSDNTHODXW04,,3770,Piece,1 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726736944-Product-vertical type.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNTHODXW48-PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 4 Way (8 mod inc)",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 4 Way (8 mod inc)",DSDNTHODXW48,,DSDNTHODXW48,,3981,Piece,1 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way (8 mod inc),Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726736944-Product-vertical type.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNTHODXW06-PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 6 Way",DSDNTHODXW06,,DSDNTHODXW06,,4607,Piece,1 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726736944-Product-vertical type.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNTHODXW08-PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 8 Way",DSDNTHODXW08,,DSDNTHODXW08,,5905,Piece,1 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,8 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726736944-Product-vertical type.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDNTHODXW12-PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 12 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"PS plus Double Door TP&N-IP 42 With SS Enclosures Vertical Type DB, 12 Way",DSDNTHODXW12,,DSDNTHODXW12,,8999,Piece,1 N,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,12 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726736944-Product-vertical type.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDMSNHOSI04-Single Door - IP 40 With SS Enclosures, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"Single Door - IP 40 With SS Enclosures, 4 Way",DSDMSNHOSI04,,DSDMSNHOSI04,,982,Piece,20 N,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,1726736897-Product-standrd 3 pic.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDMSNHOSI06-Single Door - IP 40 With SS Enclosures, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,"Single Door - IP 40 With SS Enclosures, 6 Way",DSDMSNHOSI06,,DSDMSNHOSI06,,1125,Piece,16 N,1,"Sheet Steel Enclosures For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Type,S3IO,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,1726736897-Product-standrd 3 pic.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
