id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
17121,"Standard DSDNSHODXW04-PS plus Double Door SP&N-IP 42 With SS Enclosures, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW04,,DSDNSHODXW04,,1531,Piece,Pack of 8 Nos,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726814164-Product-St 1 pics.PNG,2337740046-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17122,"Standard DSDNSHODXW06-PS plus Double Door SP&N-IP 42 With SS Enclosures, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW06,,DSDNSHODXW06,,1715,Piece,Pack of 6 Nos,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726814164-Product-St 1 pics.PNG,8184679336-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17123,"Standard DSDNSHODXW08-PS plus Double Door SP&N-IP 42 With SS Enclosures, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW08,,DSDNSHODXW08,,1828,Piece,Pack of 6 Nos,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,8 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726814164-Product-St 1 pics.PNG,4220417071-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17124,"Standard DSDNSHODXW12-PS plus Double Door SP&N-IP 42 With SS Enclosures, 12 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW12,,DSDNSHODXW12,,2261,Piece,Pack of 4 Nos,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,12 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726814164-Product-St 1 pics.PNG,4243339508-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17125,"Standard DSDNSHODXW16-PS plus Double Door SP&N-IP 42 With SS Enclosures, 16 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door SP&N-IP 42 With SS Enclosures,DSDNSHODXW16,,DSDNSHODXW16,,3148,Piece,Pack of 4 Nos,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,16 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,1726814164-Product-St 1 pics.PNG,4630583451-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17126,"Standard DSDNTHODXW04-PS plus Double Door TP&N-IP 42 With SS Enclosures, 4 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW04,,DSDNTHODXW04,,3770,Piece,Each,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,"1726814248-Product-st 2,,,.PNG",3596249919-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17127,"Standard DSDNTHODXW48-PS plus Double Door TP&N-IP 42 With SS Enclosures, 4 Way (8 mod inc)",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW48,,DSDNTHODXW48,,3981,Piece,Each,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,4 Way (8 mod inc),Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,"1726814248-Product-st 2,,,.PNG",4986043644-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17128,"Standard DSDNTHODXW06-PS plus Double Door TP&N-IP 42 With SS Enclosures, 6 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW06,,DSDNTHODXW06,,4607,Piece,Each,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,6 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,"1726814248-Product-st 2,,,.PNG",9734559981-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17129,"Standard DSDNTHODXW08-PS plus Double Door TP&N-IP 42 With SS Enclosures, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW08,,DSDNTHODXW08,,5905,Piece,Each,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,8 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,"1726814248-Product-st 2,,,.PNG",6462047909-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
17130,"Standard DSDNTHODXW12-PS plus Double Door TP&N-IP 42 With SS Enclosures, 12 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Powershell Plus DB,PS plus Double Door TP&N-IP 42 With SS Enclosures,DSDNTHODXW12,,DSDNTHODXW12,,8999,Piece,Each,1,"Sheet Steel Enclosures With Detachable Gland Plates For Flush/Surface Mounting With Bus Bar, Neutral Links And Earth Bar (Without MCBs)",,,,,,No. of Ways,12 Way,Mounting,Flush/Surface,,,,,,,,,,,,,,,,,,,"1726814248-Product-st 2,,,.PNG",1828676815-Standard-DSDN,8537,18%,,,,,,,,,1,12-14 Days,
