c1_category,c2_category,leaf_category
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Thermal Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Magnetic Circuit Breaker
Low Voltage Switch Gear,MPCB,Magnetic Circuit Breaker
