name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"EZC100H3015, Schneider Electric Easypact EZC MCCB 15 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"EZC MCCB 15 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3015,,EZC100H3015,,4616.16,Piece,Each,1,"EZC100H3015, Schneider Electric Easypact EZC MCCB 15 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,15A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3020, Schneider Electric Easypact EZC MCCB 20 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 20 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3020,,EZC100H3020,,4616.16,Piece,Each,1,"EZC100H3020, Schneider Electric Easypact EZC MCCB 20 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,20A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3025, Schneider Electric Easypact EZC MCCB 25 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 25 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3025,,EZC100H3025,,4616.16,Piece,Each,1,"EZC100H3025, Schneider Electric Easypact EZC MCCB 25 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,25A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3032, Schneider Electric Easypact EZC MCCB 32 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 32 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3032,,EZC100H3032,,4616.16,Piece,Each,1,"EZC100H3032, Schneider Electric Easypact EZC MCCB 32 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,32A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3040, Schneider Electric Easypact EZC MCCB 40 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 40 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3040,,EZC100H3040,,4616.16,Piece,Each,1,"EZC100H3040, Schneider Electric Easypact EZC MCCB 40 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,40A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3050, Schneider Electric Easypact EZC MCCB 50 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 50 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3050,,EZC100H3050,,4616.16,Piece,Each,1,"EZC100H3050, Schneider Electric Easypact EZC MCCB 50 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,50A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3063, Schneider Electric Easypact EZC MCCB 63 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 63 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3063,,EZC100H3063,,4616.16,Piece,Each,1,"EZC100H3063, Schneider Electric Easypact EZC MCCB 63 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,63A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3080, Schneider Electric Easypact EZC MCCB 80 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 80 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3080,,EZC100H3080,,4616.16,Piece,Each,1,"EZC100H3080, Schneider Electric Easypact EZC MCCB 80 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,80A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H3100, Schneider Electric Easypact EZC MCCB 100 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 100 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H3100,,EZC100H3100,,4616.16,Piece,Each,1,"EZC100H3100, Schneider Electric Easypact EZC MCCB 100 A, 3 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,100A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
"EZC100H4020, Schneider Electric Easypact EZC MCCB 20 A, 4 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Easypact EZC MCCB 20 A, 4 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",EZC100H4020,,EZC100H4020,,6400.32,Piece,Each,1,"EZC100H4020, Schneider Electric Easypact EZC MCCB 20 A, 4 Pole, 30 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit TMD",,,,,,Rated Current,20A,Rated Voltage (V),415V AC,Breaking Capacity,30 kA,Current Setting Type,Fixed,No. Of Poles,4 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,,,,18%,,7 days,,,,,,,1,1,8-10 Days
