name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells IHAR12CH-2P Thermal O/L Relay A/M, 3.8 A - 6 A, 2-Poles, UR1 H-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,2P Thermal O/L Relay A/M,IHAR12CH,,IHAR12CH,,927,Piece,Each,1,"Havells IHAR12CH-2P Thermal O/L Relay A/M, 3.8 A - 6 A, 2-Poles, UR1 H-Type",,,,,,Relay Range (A),3.8 A - 6 A,Suitable For,2 Pole Contactors,Poles,2,Type,UR1 H,,,,,,,,,,,,,,,1726831051-Product-IHAR12CH.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHAR12CJ-2P Thermal O/L Relay A/M, 6 A - 9.3 A, 2-Poles, UR1 J-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,2P Thermal O/L Relay A/M,IHAR12CJ,,IHAR12CJ,,927,Piece,Each,1,"Havells IHAR12CJ-2P Thermal O/L Relay A/M, 6 A - 9.3 A, 2-Poles, UR1 J-Type",,,,,,Relay Range (A),6 A - 9.3 A,Suitable For,2 Pole Contactors,Poles,2,Type,UR1 J,,,,,,,,,,,,,,,1726831051-Product-IHAR12CH.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHAR12CK-2P Thermal O/L Relay A/M, 8.9 A - 13.5 A, 2-Poles, UR1 K-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,2P Thermal O/L Relay A/M,IHAR12CK,,IHAR12CK,,927,Piece,Each,1,"Havells IHAR12CK-2P Thermal O/L Relay A/M, 8.9 A - 13.5 A, 2-Poles, UR1 K-Type",,,,,,Relay Range (A),8.9 A - 13.5 A,Suitable For,2 Pole Contactors,Poles,2,Type,UR1 K,,,,,,,,,,,,,,,1726831051-Product-IHAR12CH.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHAR12CL-2P Thermal O/L Relay A/M, 13.2 A - 20 A, 2-Poles, UR1 L-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,2P Thermal O/L Relay A/M,IHAR12CL,,IHAR12CL,,1012,Piece,Each,1,"Havells IHAR12CL-2P Thermal O/L Relay A/M, 13.2 A - 20 A, 2-Poles, UR1 L-Type",,,,,,Relay Range (A),13.2 A - 20 A,Suitable For,2 Pole Contactors,Poles,2,Type,UR1 L,,,,,,,,,,,,,,,1726831051-Product-IHAR12CH.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHAR12CM-2P Thermal O/L Relay A/M, 17.4 A - 24 A, 2-Poles, UR1 M-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,2P Thermal O/L Relay A/M,IHAR12CM,,IHAR12CM,,1012,Piece,Each,1,"Havells IHAR12CM-2P Thermal O/L Relay A/M, 17.4 A - 24 A, 2-Poles, UR1 M-Type",,,,,,Relay Range (A),17.4 A - 24 A,Suitable For,2 Pole Contactors,Poles,2,Type,UR1 M,,,,,,,,,,,,,,,1726831051-Product-IHAR12CH.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHAR12CN-2P Thermal O/L Relay A/M, 22 A - 30 A, 2-Poles, UR1 N-Type",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Thermal Overload Relay,2P Thermal O/L Relay A/M,IHAR12CN,,IHAR12CN,,1630,Piece,Each,1,"Havells IHAR12CN-2P Thermal O/L Relay A/M, 22 A - 30 A, 2-Poles, UR1 N-Type",,,,,,Relay Range (A),22 A - 30 A,Suitable For,2 Pole Contactors,Poles,2,Type,UR1 N,,,,,,,,,,,,,,,1726831051-Product-IHAR12CH.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISCPSMPCX016-Spare Agri Contactor, Housing 2P",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Spares - Motor Starter & Controller,"Spare Agri Contactor, Housing 2P",ISCPSMPCX016,,ISCPSMPCX016,,326,Piece,Each,1,"Havells ISCPSMPCX016-Spare Agri Contactor, Housing 2P",,,,,,Pole,2P,,,,,,,,,,,,,,,,,,,,,1726831065-Product-ISCPSMPCX016-1.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISCPSMPCX014-Spare Agri Contactor, Housing 4P",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Spares - Motor Starter & Controller,"Spare Agri Contactor, Housing 4P",ISCPSMPCX014,,ISCPSMPCX014,,526,Piece,Each,1,"Havells ISCPSMPCX014-Spare Agri Contactor, Housing 4P",,,,,,Pole,4P,,,,,,,,,,,,,,,,,,,,,1726831083-Product-ISCPSMPCX014.....PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPEX0447-Spare Agri Contactor, Carrier Assembly 2P",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Spares - Motor Starter & Controller,"Spare Agri Contactor, Carrier Assembly 2P",ISSPEX0447,,ISSPEX0447,,94,Piece,Each,1,"Havells ISSPEX0447-Spare Agri Contactor, Carrier Assembly 2P",,,,,,Pole,2P,,,,,,,,,,,,,,,,,,,,,1726831094-Product-ISSPEX0447.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSPEX0446-Spare Agri Contactor, Carrier Assembly 4P",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,Spares - Motor Starter & Controller,"Spare Agri Contactor, Carrier Assembly 4P",ISSPEX0446,,ISSPEX0446,,136,Piece,Each,1,"Havells ISSPEX0446-Spare Agri Contactor, Carrier Assembly 4P",,,,,,Pole,4P,,,,,,,,,,,,,,,,,,,,,1726831105-Product-ISSPEX0446.PNG,,,18%,,,,,,,,,1,08-10 Days,
