name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Connectwell CF4UL110-240VR- 4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V RED, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VR,,CF4UL110-240VR,78.3,7830,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VR- 4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V RED, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V RED,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL110-240VR1.0- 4mm²Ø5X20mm 1A Screw Clamp Fuse TB 110-240V RED, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VR1.0,,CF4UL110-240VR1.0,78.3,7830,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VR1.0- 4mm²Ø5X20mm 1A Screw Clamp Fuse TB 110-240V RED, (Pack of 100)",,,,,,Type of Product,4mm²Ø5X20mm 1A Screw Clamp Fuse TB 110-240V RED,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL110-240VRP- 4mm² Ø5X20 Screw Clamp Fuse TB REV PRT 110-240V, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VRP,,CF4UL110-240VRP,65.5,6550,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VRP- 4mm² Ø5X20 Screw Clamp Fuse TB REV PRT 110-240V, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20 Screw Clamp Fuse TB REV PRT 110-240V,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL110-240VRPBK- 4mm² Ø5X20 Screw Clamp Fuse TB REV PRN 110-240V BK, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VRPBK,,CF4UL110-240VRPBK,72.1,7210,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VRPBK- 4mm² Ø5X20 Screw Clamp Fuse TB REV PRN 110-240V BK, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20 Screw Clamp Fuse TB REV PRN 110-240V BK,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL110-240VRPBU- 4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V BLU, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VRPBU,,CF4UL110-240VRPBU,72.1,7210,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VRPBU- 4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V BLU, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V BLU,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL110-240VRPR- 4mm²Ø5X20 Screw Clamp Fuse TB REV PRN 110-240V RED, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VRPR,,CF4UL110-240VRPR,72.1,7210,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VRPR- 4mm²Ø5X20 Screw Clamp Fuse TB REV PRN 110-240V RED, (Pack of 100)",,,,,,Type of Product,4mm²Ø5X20 Screw Clamp Fuse TB REV PRN 110-240V RED,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL110-240VY- 4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V YLW, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL110-240VY,,CF4UL110-240VY,71.2,7120,Piece,(Pack of 100),1,"Connectwell CF4UL110-240VY- 4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V YLW, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20mm Screw Clamp Fuse TB 110-240V YLW,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL440V- 4mm² (W/O FUSE) Screw Clamp TB 440V, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL440V,,CF4UL440V,65.5,6550,Piece,(Pack of 100),1,"Connectwell CF4UL440V- 4mm² (W/O FUSE) Screw Clamp TB 440V, (Pack of 100)",,,,,,Type of Product,4mm² (W/O FUSE) Screw Clamp TB 440V,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL440V5.0- 4mm² Ø5X20mm 5mA Screw Clamp Fuse TB 440V, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL440V5.0,,CF4UL440V5.0,72.1,7210,Piece,(Pack of 100),1,"Connectwell CF4UL440V5.0- 4mm² Ø5X20mm 5mA Screw Clamp Fuse TB 440V, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20mm 5mA Screw Clamp Fuse TB 440V,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CF4UL6-60V- 4mm² Ø5X20mm Screw Clamp Fuse TB 6-60V, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Screw Type,CF4UL6-60V,,CF4UL6-60V,64.7,6470,Piece,(Pack of 100),1,"Connectwell CF4UL6-60V- 4mm² Ø5X20mm Screw Clamp Fuse TB 6-60V, (Pack of 100)",,,,,,Type of Product,4mm² Ø5X20mm Screw Clamp Fuse TB 6-60V,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
