name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Connectwell CMB4/2- 4 mm² Panel Mount 2P Screw Clamp TB, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount 2P Screw Clamp Type,CMB4/2,,CMB4/2,32.8,3280,Piece,(Pack of 100),1,"Connectwell CMB4/2- 4 mm² Panel Mount 2POLE Screw Clamp TB, (Pack of 100)",,,,,,Type of Product,4 mm² Panel Mount 2POLE Screw Clamp TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4/3- 4 mm² Panel Mount 2P Screw Clamp TB, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount 2P Screw Clamp Type,CMB4/3,,CMB4/3,52.5,5250,Piece,(Pack of 100),1,"Connectwell CMB4/3- 4 mm² Panel Mount 3POLE Screw Clamp TB, (Pack of 100)",,,,,,Type of Product,4 mm² Panel Mount 3POLE Screw Clamp TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4/4- 4 mm² Panel Mount 4P Screw Clamp TB, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount 4P Screw Clamp Type,CMB4/4,,CMB4/4,65.7,3285,Piece,(Pack of 50),1,"Connectwell CMB4/4- 4 mm² Panel Mount 4POLE Screw Clamp TB, (Pack of 50)",,,,,,Type of Product,4 mm² Panel Mount 4POLE Screw Clamp TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4/6- 4 mm² Panel Mount 6P Screw Clamp TB, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount 6P Screw Clamp Type,CMB4/6,,CMB4/6,94.5,4725,Piece,(Pack of 50),1,"Connectwell CMB4/6- 4 mm² Panel Mount 6POLE Screw Clamp TB, (Pack of 50)",,,,,,Type of Product,4 mm² Panel Mount 6POLE Screw Clamp TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4/7- 4 mm² Panel Mount 7P Screw Clamp TB, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount 7P Screw Clamp Type,CMB4/7,,CMB4/7,111.5,5575,Piece,(Pack of 50),1,"Connectwell CMB4/7- 4 mm² Panel Mount 7POLE Screw Clamp TB, (Pack of 50)",,,,,,Type of Product,4 mm² Panel Mount 7POLE Screw Clamp TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4/8- 4 mm² Panel Mount 8P Screw Clamp TB, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount 8P Screw Clamp Type,CMB4/8,,CMB4/8,131,6550,Piece,(Pack of 50),1,"Connectwell CMB4/8- 4 mm² Panel Mount 8POLE Screw Clamp TB, (Pack of 50)",,,,,,Type of Product,4 mm² Panel Mount 8POLE Screw Clamp TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4BG- 4 mm² Panel Mount Screw Clamp TB BEIGE, (Pack of 500)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount Screw Clamp Type,CMB4BG,,CMB4BG,14.4,7200,Piece,(Pack of 500),1,"Connectwell CMB4BG- 4 mm² Panel Mount Screw Clamp TB BEIGE, (Pack of 500)",,,,,,Type of Product,4 mm² Panel Mount Screw Clamp TB BEIGE,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4BK- 4 mm² Panel Mount Screw Clamp TB BLACK, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount Screw Clamp Type,CMB4BK,,CMB4BK,14.4,1440,Piece,(Pack of 100),1,"Connectwell CMB4BK- 4 mm² Panel Mount Screw Clamp TB BLACK, (Pack of 100)",,,,,,Type of Product,4 mm² Panel Mount Screw Clamp TB BLACK,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4BR- 4 mm² Panel Mount Screw Clamp TB BROWN, (Pack of 500)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount Screw Clamp Type,CMB4BR,,CMB4BR,14.4,7200,Piece,(Pack of 500),1,"Connectwell CMB4BR- 4 mm² Panel Mount Screw Clamp TB BROWN, (Pack of 500)",,,,,,Type of Product,4 mm² Panel Mount Screw Clamp TB BROWN,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CMB4BU- 4 mm² Panel Mount Screw Clamp TB BLUE, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Panel Mount Screw Clamp Type,CMB4BU,,CMB4BU,14.4,1440,Piece,(Pack of 100),1,"Connectwell CMB4BU- 4 mm² Panel Mount Screw Clamp TB BLUE, (Pack of 100)",,,,,,Type of Product,4 mm² Panel Mount Screw Clamp TB BLUE,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
