name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells IHDA3BBD0016 - Moulded Case Circuit Breakers, 16 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 16 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0016,,IHDA3BBD0016,,3630,Piece,Each,1,"Havells IHDA3BBD0016 - Moulded Case Circuit Breakers, 16 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],16 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0020 - Moulded Case Circuit Breakers, 20 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 20 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0020,,IHDA3BBD0020,,3630,Piece,Each,1,"Havells IHDA3BBD0020 - Moulded Case Circuit Breakers, 20 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],20 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0025 - Moulded Case Circuit Breakers, 25 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 25 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0025,,IHDA3BBD0025,,3630,Piece,Each,1,"Havells IHDA3BBD0025 - Moulded Case Circuit Breakers, 25 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],25 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0032 - Moulded Case Circuit Breakers, 32 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 32 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0032,,IHDA3BBD0032,,3630,Piece,Each,1,"Havells IHDA3BBD0032 - Moulded Case Circuit Breakers, 32 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],32 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0040 - Moulded Case Circuit Breakers, 40 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 40 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0040,,IHDA3BBD0040,,3630,Piece,Each,1,"Havells IHDA3BBD0040 - Moulded Case Circuit Breakers, 40 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],40 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0050 - Moulded Case Circuit Breakers, 50 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 50 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0050,,IHDA3BBD0050,,3630,Piece,Each,1,"Havells IHDA3BBD0050 - Moulded Case Circuit Breakers, 50 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],50 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0063 - Moulded Case Circuit Breakers, 63 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 63 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0063,,IHDA3BBD0063,,3630,Piece,Each,1,"Havells IHDA3BBD0063 - Moulded Case Circuit Breakers, 63 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],63 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0080 - Moulded Case Circuit Breakers, 80 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 80 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0080,,IHDA3BBD0080,,3985,Piece,Each,1,"Havells IHDA3BBD0080 - Moulded Case Circuit Breakers, 80 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],80 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA3BBD0100 - Moulded Case Circuit Breakers, 100 Amp, Double Pole , HIM 100-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 100 Amp, Double Pole , HIM 100-Frame",IHDA3BBD0100,,IHDA3BBD0100,,3985,Piece,Each,1,"Havells IHDA3BBD0100 - Moulded Case Circuit Breakers, 100 Amp, Double Pole , HIM 100-Frame",,,,,,Current Rating [A],100 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 100,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),16,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),5,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells IHDA6OBD0016 - Moulded Case Circuit Breakers, 16 Amp, Double Pole , HIM 125-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 16 Amp, Double Pole , HIM 125-Frame",IHDA6OBD0016,,IHDA6OBD0016,,5960,Piece,Each,1,"Havells IHDA6OBD0016 - Moulded Case Circuit Breakers, 16 Amp, Double Pole , HIM 125-Frame",,,,,,Current Rating [A],16 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Double Pole,Frame,HIM 125,Rated Ultimate Shortcircuit Breaking Ics=100% (kA rms),26,Rated Ultimate Short-Circuit Breaking Capacity Icu at 250 V (2P)-DC (kA),15,,,,,,,,,,,1726908811-Product-IHDA3BBD0016.PNG,,,18%,,,,,,,,,1,08-10 Days,
