name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Connectwell CP4LG2.5- 2.5 mm² 4 Level Feed THRU+GND Push In TB, (Pack of 30)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,2.5 mm² 4 Level Feed THRU+GND Push In TB,CP4LG2.5,,CP4LG2.5,467.5,14025,Piece,(Pack of 30),1,"Connectwell CP4LG2.5- 2.5 mm² 4 Level Feed THRU+GND Push In TB, (Pack of 30)",,,,,,Type of Product,2.5 mm² 4 Level Feed THRU+GND Push In TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP4R- 4 mm² Feed THRU Push In TB RED, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Feed THRU Push In TB RED,CP4R,,CP4R,26.1,2610,Piece,(Pack of 100),1,"Connectwell CP4R- 4 mm² Feed THRU Push In TB RED, (Pack of 100)",,,,,,Type of Product,4 mm² Feed THRU Push In TB RED,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP4Y- 4 mm² Feed THRU Push In TB YLW, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4 mm² Feed THRU Push In TB YLW,CP4Y,,CP4Y,26.1,2610,Piece,(Pack of 100),1,"Connectwell CP4Y- 4 mm² Feed THRU Push In TB YLW, (Pack of 100)",,,,,,Type of Product,4 mm² Feed THRU Push In TB YLW,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10- 10 mm² Feed THRU Push In Terminal Block, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Feed THRU Push In Terminal Block,CP6/10,,CP6/10,78.6,7860,Piece,(Pack of 100),1,"Connectwell CP6/10- 10 mm² Feed THRU Push In Terminal Block, (Pack of 100)",,,,,,Type of Product,10 mm² Feed THRU Push In Terminal Block,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10/3- 10 mm² Feed THRU Push In 3 WIRE TB, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Feed THRU Push In 3 WIRE TB,CP6/10/3,,CP6/10/3,136.3,6815,Piece,(Pack of 50),1,"Connectwell CP6/10/3- 10 mm² Feed THRU Push In 3 WIRE TB, (Pack of 50)",,,,,,Type of Product,10 mm² Feed THRU Push In 3 WIRE TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10/3BK- 10 mm² Push In Feed THRU 3 Wire TB BLACK, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Push In Feed THRU 3 Wire TB BLACK,CP6/10/3BK,,CP6/10/3BK,149.9,7495,Piece,(Pack of 50),1,"Connectwell CP6/10/3BK- 10 mm² Push In Feed THRU 3 Wire TB BLACK, (Pack of 50)",,,,,,Type of Product,10 mm² Push In Feed THRU 3 Wire TB BLACK,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10/3BU- 10mm² Push In Feed THRU 3 Wire TB BLUE, (Pack of 50)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10mm² Push In Feed THRU 3 Wire TB BLUE,CP6/10/3BU,,CP6/10/3BU,149.9,7495,Piece,(Pack of 50),1,"Connectwell CP6/10/3BU- 10mm² Push In Feed THRU 3 Wire TB BLUE, (Pack of 50)",,,,,,Type of Product,10mm² Push In Feed THRU 3 Wire TB BLUE,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10BK- 10 mm² Feed THRU Push In TB BLACK, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Feed THRU Push In TB BLACK,CP6/10BK,,CP6/10BK,86.5,8650,Piece,(Pack of 100),1,"Connectwell CP6/10BK- 10 mm² Feed THRU Push In TB BLACK, (Pack of 100)",,,,,,Type of Product,10 mm² Feed THRU Push In TB BLACK,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10BU- 10 mm² Feed THRU Push In TB BLU, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Feed THRU Push In TB BLU,CP6/10BU,,CP6/10BU,86.5,8650,Piece,(Pack of 100),1,"Connectwell CP6/10BU- 10 mm² Feed THRU Push In TB BLU, (Pack of 100)",,,,,,Type of Product,10 mm² Feed THRU Push In TB BLU,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10R- 10 mm² Push In Feed THRU TB RED, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Push In Feed THRU TB RED,CP6/10R,,CP6/10R,86.5,8650,Piece,(Pack of 100),1,"Connectwell CP6/10R- 10 mm² Push In Feed THRU TB RED, (Pack of 100)",,,,,,Type of Product,10 mm² Push In Feed THRU TB RED,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP6/10Y- 10 mm² Push In Feed THRU TB YELLOW, (Pack of 100)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10 mm² Push In Feed THRU TB YELLOW,CP6/10Y,,CP6/10Y,86.5,8650,Piece,(Pack of 100),1,"Connectwell CP6/10Y- 10 mm² Push In Feed THRU TB YELLOW, (Pack of 100)",,,,,,Type of Product,10 mm² Push In Feed THRU TB YELLOW,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP8L32- 1.5 mm² Feed THRU 8 Level Push In SP CL TB, (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,1.5 mm² Feed THRU 8 Level Push In SP CL TB,CP8L32,,CP8L32,446.1,4461,Piece,(Pack of 10),1,"Connectwell CP8L32- 1.5 mm² Feed THRU 8 Level Push In SP CL TB, (Pack of 10)",,,,,,Type of Product,1.5 mm² Feed THRU 8 Level Push In SP CL TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CP8L32(I.S)- 1.5mm² 8 Level Push In SP Clamp INT SHRT TB, (Pack of 10)",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,1.5mm² 8 Level Push In SP Clamp INT SHRT TB,CP8L32(I.S),,CP8L32(I.S),602,6020,Piece,(Pack of 10),1,"Connectwell CP8L32(I.S)- 1.5mm² 8 Level Push In SP Clamp INT SHRT TB, (Pack of 10)",,,,,,Type of Product,1.5mm² 8 Level Push In SP Clamp INT SHRT TB,,,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
