name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Standard DSDMTHDDRW04- Standard Domestic Switchgear In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),Standard,Panel & Panel Accessories,Standard Domestic Switchgear,7 Segment DB,7 Segment (Phase Segregated) DBs,DSDMTHDDRW04,,DSDMTHDDRW04,,9868,Piece,Each,1,In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),,,,,,No. of Ways,4 Way,,,,,,,,,,,,,,,,,,,,,1726817179-Product-7 segment.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
Standard DSDMTHDDRW06- Standard Domestic Switchgear In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),Standard,Panel & Panel Accessories,Standard Domestic Switchgear,7 Segment DB,7 Segment (Phase Segregated) DBs,DSDMTHDDRW06,,DSDMTHDDRW06,,11775,Piece,Each,1,In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),,,,,,No. of Ways,6 Way,,,,,,,,,,,,,,,,,,,,,1726817179-Product-7 segment.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
Standard DSDMTHDDRW08- Standard Domestic Switchgear In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),Standard,Panel & Panel Accessories,Standard Domestic Switchgear,7 Segment DB,7 Segment (Phase Segregated) DBs,DSDMTHDDRW08,,DSDMTHDDRW08,,15094,Piece,Each,1,In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),,,,,,No. of Ways,8 Way,,,,,,,,,,,,,,,,,,,,,1726817179-Product-7 segment.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
Standard DSDMTHDDRW12- Standard Domestic Switchgear In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),Standard,Panel & Panel Accessories,Standard Domestic Switchgear,7 Segment DB,7 Segment (Phase Segregated) DBs,DSDMTHDDRW12,,DSDMTHDDRW12,,16571,Piece,Each,1,In Double Door For Flush/Surface Mounting (Without MCBs/ELCBs),,,,,,No. of Ways,12 Way,,,,,,,,,,,,,,,,,,,,,1726817179-Product-7 segment.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDSNVDRZ04040- Pahse Selector (Vertical) DBs, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Pahse Selector DB,Pahse Selector (Vertical) DBs,DSDSNVDRZ04040,,DSDSNVDRZ04040,,9403,Piece,Each,1,"In Double Door Fitted With Selector Switches, Indicating Lights Duly Wired With 8-Way Incomer Provision",,,,,,No. of Ways,4 Way,Current Rating,40 A,,,,,,,,,,,,,,,,,,,1726817092-Product-st 7.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDSNVDRZ04063- Pahse Selector (Vertical) DBs, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Pahse Selector DB,Pahse Selector (Vertical) DBs,DSDSNVDRZ04063,,DSDSNVDRZ04063,,11277,Piece,Each,1,"In Double Door Fitted With Selector Switches, Indicating Lights Duly Wired With 8-Way Incomer Provision",,,,,,No. of Ways,4 Way,Current Rating,63 A,,,,,,,,,,,,,,,,,,,1726817092-Product-st 7.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDSNVDRZ04063- Pahse Selector (Vertical) DBs, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Pahse Selector DB,Pahse Selector (Vertical) DBs,DSDSNVDRZ04063,,DSDSNVDRZ04063,,9524,Piece,Each,1,"In Double Door Fitted With Selector Switches, Indicating Lights Duly Wired With 8-Way Incomer Provision",,,,,,No. of Ways,6 Way,Current Rating,40 A,,,,,,,,,,,,,,,,,,,1726817092-Product-st 7.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDSNVDRZ06063- Pahse Selector (Vertical) DBs, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Pahse Selector DB,Pahse Selector (Vertical) DBs,DSDSNVDRZ06063,,DSDSNVDRZ06063,,11403,Piece,Each,1,"In Double Door Fitted With Selector Switches, Indicating Lights Duly Wired With 8-Way Incomer Provision",,,,,,No. of Ways,6 Way,Current Rating,63 A,,,,,,,,,,,,,,,,,,,1726817092-Product-st 7.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDSNVDRZ08040- Pahse Selector (Vertical) DBs, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Pahse Selector DB,Pahse Selector (Vertical) DBs,DSDSNVDRZ08040,,DSDSNVDRZ08040,,10962,Piece,Each,1,"In Double Door Fitted With Selector Switches, Indicating Lights Duly Wired With 8-Way Incomer Provision",,,,,,No. of Ways,8 Way,Current Rating,40 A,,,,,,,,,,,,,,,,,,,1726817092-Product-st 7.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
"Standard DSDSNVDRZ08063- Pahse Selector (Vertical) DBs, 8 Way",Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Pahse Selector DB,Pahse Selector (Vertical) DBs,DSDSNVDRZ08063,,DSDSNVDRZ08063,,12028,Piece,Each,1,"In Double Door Fitted With Selector Switches, Indicating Lights Duly Wired With 8-Way Incomer Provision",,,,,,No. of Ways,8 Way,Current Rating,63 A,,,,,,,,,,,,,,,,,,,1726817092-Product-st 7.PNG,,8537,18%,,,,,,,,,1,12-14 Days,
