c1_category,c2_category,leaf_category
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 100 Amp, Double Pole , HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 125 Amp, Double Pole , HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 16 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 20 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 25 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 32 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 40 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 50 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 63 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 80 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 100 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 125 Amp, Three Pole, HIM 125-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 150 Amp, Three Pole, HIM 250-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 160 Amp, Three Pole, HIM 250-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 200 Amp, Three Pole, HIM 250-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 225 Amp, Three Pole, HIM 250-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 250 Amp, Three Pole, HIM 250-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 300 Amp, Three Pole, HIM 400-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 350 Amp, Three Pole, HIM 400-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 400 Amp, Three Pole, HIM 400-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 500 Amp, Three Pole, HIM 630-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 630 Amp, Three Pole, HIM 630-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 700 Amp, Three Pole, HIM 800-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 800 Amp, Three Pole, HIM 800-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 300 Amp, Three Pole, HIM 400-Frame"
Low Voltage Switch Gear,MCCB,"Moulded Case Circuit Breakers, 350 Amp, Three Pole, HIM 400-Frame"
