c1_category,c2_category,leaf_category
Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs)
Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs)
Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs)
Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs)
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 1 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 3 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 4 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 5 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 6 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 9 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 12 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 15 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 1.5 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 2.0 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 2.5 A
Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 3.75 A
Standard Domestic Switchgear,MCB Enclosures,Sheet Steel Enclosures For Flush/Surface Mounting (Without MCBs)
Standard Domestic Switchgear,MCB Enclosures,Sheet Steel Enclosures For Flush/Surface Mounting (Without MCBs)
Standard Domestic Switchgear,MCB/ELCB Plastic Enclosures,With Din Channel Suitable For Incorporating MCBs (Without MCBs)
Standard Domestic Switchgear,MCB/ELCB Plastic Enclosures,With Din Channel Suitable For Incorporating MCBs (Without MCBs)
Standard Domestic Switchgear,Rotory Switch,Rotory Switch 63 A
Standard Domestic Switchgear,Rotory Switch,Rotory Switch 40 A
