name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Standard DSDPUSN020- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 20 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs),DSDPUSN020,,DSDPUSN020,,1004,Piece,20,1,Standard DSDPUSN020- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 20 A,,,,,,Number of Poles,SP / SPN (AC Box),Type,KSPS / SP,Current Rating,20 A,,,,,,,,,,,,,,,,,1727158161-Product-DSDPUSN020.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
Standard DSDPUDP020- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 20 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs),DSDPUDP020,,DSDPUDP020,,1042,Piece,12,1,Standard DSDPUDP020- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 20 A,,,,,,Number of Poles,DP,Type,KSPS / DP,Current Rating,20 A,,,,,,,,,,,,,,,,,1727158161-Product-DSDPUSN020.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
Standard DSDPUTN020- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 20 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs),DSDPUTN020,,DSDPUTN020,,2150,Piece,8,1,Standard DSDPUTN020- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 20 A,,,,,,Number of Poles,TP / TPN,Type,KSPS / TP,Current Rating,20 A,,,,,,,,,,,,,,,,,1727158161-Product-DSDPUSN020.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
Standard DSDPUTN032- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 32 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,Plug & Socket Enclosures,Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs),DSDPUTN032,,DSDPUTN032,,3121,Piece,8,1,Standard DSDPUTN032- Plug & Socket Enclosures In Sheet Steel Enclosures (Without MCBs) 32 A,,,,,,Number of Poles,TP / TPN,Type,KSPS / TP,Current Rating,32 A,,,,,,,,,,,,,,,,,1727158161-Product-DSDPUSN020.PNG,,8538,18%,,,,,,,,,1,10-12 Days,
Standard DSADOSN3001-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 1 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 1 A,DSADOSN3001,,DSADOSN3001,,2349,Piece,Each,1,Standard DSADOSN3001-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 1 A,,,,,,Number of Poles,SPN,Current Rating,30 A / 1 A,,,,,,,,,,,,,,,,,,,1727158625-Product-ACCL.PNG,,8536,18%,,,,,,,,,1,10-12 Days,
Standard DSADOSN3003-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 3 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 3 A,DSADOSN3003,,DSADOSN3003,,2349,Piece,Each,1,Standard DSADOSN3003-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 3 A,,,,,,Number of Poles,SPN,Current Rating,30 A / 3 A,,,,,,,,,,,,,,,,,,,1727158625-Product-ACCL.PNG,,8536,18%,,,,,,,,,1,10-12 Days,
Standard DSADOSN3004-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 4 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 4 A,DSADOSN3004,,DSADOSN3004,,2349,Piece,Each,1,Standard DSADOSN3004-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 4 A,,,,,,Number of Poles,SPN,Current Rating,30 A / 4 A,,,,,,,,,,,,,,,,,,,1727158625-Product-ACCL.PNG,,8536,18%,,,,,,,,,1,10-12 Days,
Standard DSADOSN3005-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 5 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 5 A,DSADOSN3005,,DSADOSN3005,,2349,Piece,Each,1,Standard DSADOSN3005-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 5 A,,,,,,Number of Poles,SPN,Current Rating,30 A / 5 A,,,,,,,,,,,,,,,,,,,1727158625-Product-ACCL.PNG,,8536,18%,,,,,,,,,1,10-12 Days,
Standard DSADOSN3006-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 6 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 6 A,DSADOSN3006,,DSADOSN3006,,2349,Piece,Each,1,Standard DSADOSN3006-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 6 A,,,,,,Number of Poles,SPN,Current Rating,30 A / 6 A,,,,,,,,,,,,,,,,,,,1727158625-Product-ACCL.PNG,,8536,18%,,,,,,,,,1,10-12 Days,
Standard DSADOSN3009-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 9 A,Standard,Panel & Panel Accessories,Standard Domestic Switchgear,ACCL,SPN ACCL 3 M w/o GEN Start/Stop 30 A / 9 A,DSADOSN3009,,DSADOSN3009,,2349,Piece,Each,1,Standard DSADOSN3009-SPN ACCL 3 M w/o GEN Start/Stop 30 A / 9 A,,,,,,Number of Poles,SPN,Current Rating,30 A / 9 A,,,,,,,,,,,,,,,,,,,1727158625-Product-ACCL.PNG,,8536,18%,,,,,,,,,1,10-12 Days,
