c1_category,c2_category,leaf_category
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
Low Voltage Switch Gear,Change Over Switches,"OTM160...200 Motorised Change-over switches, 3 & 4 pole, I-O-II -indication"
