name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells ISSLEU0901-Motor Operator, 24 VDC, HIM 400-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Motor Operator,ISSLEU0901,,ISSLEU0901,,44405,Piece,Each,1,"Havells ISSLEU0901-Motor Operator, 24 VDC, HIM 400-Frame, MCCB Accessorie",,,,,,Voltage Rating [V],24 VDC,Frame,HIM 400,,,,,,,,,,,,,,,,,,,1727168624-Product-ISSLEU0917.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEU0922-Motor Operator, 110 VAC/VDC, HIM 400-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Motor Operator,ISSLEU0922,,ISSLEU0922,,44405,Piece,Each,1,"Havells ISSLEU0922-Motor Operator, 110 VAC/VDC, HIM 400-Frame, MCCB Accessorie",,,,,,Voltage Rating [V],110 VAC/VDC,Frame,HIM 400,,,,,,,,,,,,,,,,,,,1727168624-Product-ISSLEU0917.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEU0902-Motor Operator, 240 VAC/VDC, HIM 400-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Motor Operator,ISSLEU0902,,ISSLEU0902,,44405,Piece,Each,1,"Havells ISSLEU0902-Motor Operator, 240 VAC/VDC, HIM 400-Frame, MCCB Accessorie",,,,,,Voltage Rating [V],240 VAC/VDC,Frame,HIM 400,,,,,,,,,,,,,,,,,,,1727168624-Product-ISSLEU0917.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEU0903-Motor Operator, 24 VDC, HIM 630/800-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Motor Operator,ISSLEU0903,,ISSLEU0903,,49475,Piece,Each,1,"Havells ISSLEU0903-Motor Operator, 24 VDC, HIM 630/800-Frame, MCCB Accessorie",,,,,,Voltage Rating [V],24 VDC,Frame,HIM 630/800,,,,,,,,,,,,,,,,,,,1727168624-Product-ISSLEU0917.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEU0923-Motor Operator, 110 VAC/VDC, HIM 630/800-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Motor Operator,ISSLEU0923,,ISSLEU0923,,49475,Piece,Each,1,"Havells ISSLEU0923-Motor Operator, 110 VAC/VDC, HIM 630/800-Frame, MCCB Accessorie",,,,,,Voltage Rating [V],110 VAC/VDC,Frame,HIM 630/800,,,,,,,,,,,,,,,,,,,1727168624-Product-ISSLEU0917.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEU0904-Motor Operator, 240 VAC/VDC, HIM 630/800-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Motor Operator,ISSLEU0904,,ISSLEU0904,,49475,Piece,Each,1,"Havells ISSLEU0904-Motor Operator, 240 VAC/VDC, HIM 630/800-Frame, MCCB Accessorie",,,,,,Voltage Rating [V],240 VAC/VDC,Frame,HIM 630/800,,,,,,,,,,,,,,,,,,,1727168624-Product-ISSLEU0917.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEX1158-Spreader Terminals - Extended Type, 3-Pole (Set of 3), HIM 100-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Spreader Terminals - Extended Type,ISSLEX1158,,ISSLEX1158,,195,Piece,Each,1,"Havells ISSLEX1158-Spreader Terminals - Extended Type, 3-Pole (Set of 3), HIM 100-Frame, MCCB Accessorie",,,,,,Other Details,3-Pole (Set of 3),Frame,HIM 100,,,,,,,,,,,,,,,,,,,1727168667-Product-Havells.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEX1159-Spreader Terminals - Extended Type, 4-Pole (Set of 4), HIM 100-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Spreader Terminals - Extended Type,ISSLEX1159,,ISSLEX1159,,305,Piece,Each,1,"Havells ISSLEX1159-Spreader Terminals - Extended Type, 4-Pole (Set of 4), HIM 100-Frame, MCCB Accessorie",,,,,,Other Details,4-Pole (Set of 4),Frame,HIM 100,,,,,,,,,,,,,,,,,,,1727168667-Product-Havells.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEX1160-Spreader Terminals - Extended Type, 3-Pole (Set of 3), HIM 125-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Spreader Terminals - Extended Type,ISSLEX1160,,ISSLEX1160,,250,Piece,Each,1,"Havells ISSLEX1160-Spreader Terminals - Extended Type, 3-Pole (Set of 3), HIM 125-Frame, MCCB Accessorie",,,,,,Other Details,3-Pole (Set of 3),Frame,HIM 125,,,,,,,,,,,,,,,,,,,1727168667-Product-Havells.PNG,,,18%,,,,,,,,,1,08-10 Days,
"Havells ISSLEX1161-Spreader Terminals - Extended Type, 4-Pole (Set of 4), HIM 125-Frame, MCCB Accessorie",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB Accessorie,Spreader Terminals - Extended Type,ISSLEX1161,,ISSLEX1161,,360,Piece,Each,1,"Havells ISSLEX1161-Spreader Terminals - Extended Type, 4-Pole (Set of 4), HIM 125-Frame, MCCB Accessorie",,,,,,Other Details,4-Pole (Set of 4),Frame,HIM 125,,,,,,,,,,,,,,,,,,,1727168667-Product-Havells.PNG,,,18%,,,,,,,,,1,08-10 Days,
