name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
ABB OTM40F3CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM40F3CMA230V,,OTM40F3CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,3,Rated Current AC31B / AC33B 415V [A],40/40,Rated Power 400V [kVA],27,Rated Current AC21A .. AC22A 415V [A],40,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM40F4CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM40F4CMA230V,,OTM40F4CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,4,Rated Current AC31B / AC33B 415V [A],40/40,Rated Power 400V [kVA],27,Rated Current AC21A .. AC22A 415V [A],40,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM63F3CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM63F3CMA230V,,OTM63F3CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,3,Rated Current AC31B / AC33B 415V [A],63/63,Rated Power 400V [kVA],43,Rated Current AC21A .. AC22A 415V [A],63,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM63F4CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM63F4CMA230V,,OTM63F4CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,4,Rated Current AC31B / AC33B 415V [A],63/63,Rated Power 400V [kVA],43,Rated Current AC21A .. AC22A 415V [A],63,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM80F3CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM80F3CMA230V,,OTM80F3CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,3,Rated Current AC31B / AC33B 415V [A],80/80,Rated Power 400V [kVA],55,Rated Current AC21A .. AC22A 415V [A],80,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM80F4CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM80F4CMA230V,,OTM80F4CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,4,Rated Current AC31B / AC33B 415V [A],80/80,Rated Power 400V [kVA],55,Rated Current AC21A .. AC22A 415V [A],80,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM100F3CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM100F3CMA230V,,OTM100F3CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,3,Rated Current AC31B / AC33B 415V [A],100/80,Rated Power 400V [kVA],70,Rated Current AC21A .. AC22A 415V [A],100,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM100F4CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM100F4CMA230V,,OTM100F4CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,4,Rated Current AC31B / AC33B 415V [A],100/80,Rated Power 400V [kVA],70,Rated Current AC21A .. AC22A 415V [A],100,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM125F3CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM125F3CMA230V,,OTM125F3CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,3,Rated Current AC31B / AC33B 415V [A],125/80,Rated Power 400V [kVA],86,Rated Current AC21A .. AC22A 415V [A],125,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
ABB OTM125F4CMA230V-Motorised OTM40...125_C & OTM160...200,ABB,Panel & Panel Accessories,Low Voltage Switch Gear,Change Over Switches,Motorised OTM40...125_C & OTM160...200,OTM125F4CMA230V,,OTM125F4CMA230V,,,Piece,Each,1,,,,,,,Number of Pole,4,Rated Current AC31B / AC33B 415V [A],125/80,Rated Power 400V [kVA],86,Rated Current AC21A .. AC22A 415V [A],125,,,,,,,,,,,,,,,1727266148-Product-OTM40F3CMA230V.PNG,,,18%,,,,,,,,,1,10-12 Days,
