c1_category,c2_category,leaf_category
Distribution Boards,Classic Series DB,"Classic Series DB, 4 Way, 4 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 6 Way, 6 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 8 Way, 8 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 10 Way, 10 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 12 Way, 12 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 14 Way, 14 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 16 Way, 16 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 20 Way, 20 + 2 Module,SPN, Single Door, IP 30"
Distribution Boards,Classic Series DB,"Classic Series DB, 4 Way, 4 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 6 Way, 6 + 2 Module,SPN, Single DoorMetal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 8 Way, 8 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 10 Way, 10 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 12 Way, 12 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 14 Way, 14 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 16 Way, 16 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 20 Way, 20 + 2 Module,SPN, Single Door Metal, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 4 Way, 4 + 2 Module,SPN, Single Door Metal With Acrylic, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 6 Way, 6 + 2 Module,SPN, Single DoorMetal With Acrylic, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 8 Way, 8 + 2 Module,SPN, Single Door Metal With Acrylic, IP 43"
Distribution Boards,Classic Series DB,"Classic Series DB, 10 Way, 10 + 2 Module,SPN, Single Door Metal With Acrylic, IP 43"
