name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Havells IHLE1ABT0040 - MCCB, Adjustable Thermal & Fixed Magnetic, 40 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1ABT0040,,IHLE1ABT0040,4535,,Piece,Each,1,"Havells IHLE1ABT0040 - MCCB, Adjustable Thermal & Fixed Magnetic, 40 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],40 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLE1ABT0050 - MCCB, Adjustable Thermal & Fixed Magnetic, 50 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1ABT0050,,IHLE1ABT0050,4535,,Piece,Each,1,"Havells IHLE1ABT0050 - MCCB, Adjustable Thermal & Fixed Magnetic, 50 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],50 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLE1ABT0063 - MCCB, Adjustable Thermal & Fixed Magnetic, 63 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1ABT0063,,IHLE1ABT0063,4535,,Piece,Each,1,"Havells IHLE1ABT0063 - MCCB, Adjustable Thermal & Fixed Magnetic, 63 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],63 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLE1AB30080 - MCCB, Adjustable Thermal & Fixed Magnetic, 80 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1AB30080,,IHLE1AB30080,4730,,Piece,Each,1,"Havells IHLE1AB30080 - MCCB, Adjustable Thermal & Fixed Magnetic, 80 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],80 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLE1AB30100 - MCCB, Adjustable Thermal & Fixed Magnetic, 100 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1AB30100,,IHLE1AB30100,4730,,Piece,Each,1,"Havells IHLE1AB30100 - MCCB, Adjustable Thermal & Fixed Magnetic, 100 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],100 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLE1AB30125 - MCCB, Adjustable Thermal & Fixed Magnetic, 125 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1AB30125,,IHLE1AB30125,5470,,Piece,Each,1,"Havells IHLE1AB30125 - MCCB, Adjustable Thermal & Fixed Magnetic, 125 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],125 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLE1AB30160 - MCCB, Adjustable Thermal & Fixed Magnetic, 160 Amp, Three Pole, HID 1-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLE1AB30160,,IHLE1AB30160,6990,,Piece,Each,1,"Havells IHLE1AB30160 - MCCB, Adjustable Thermal & Fixed Magnetic, 160 Amp, Three Pole, HID 1-Frame",,,,,,Current Rating [A],160 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,HID 1,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),10,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),100%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLAST0025 - MCCB, Adjustable Thermal & Fixed Magnetic, 25 Amp, Three Pole, AS-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLAST0025,,IHLAST0025,7455,,Piece,Each,1,"Havells IHLAST0025 - MCCB, Adjustable Thermal & Fixed Magnetic, 25 Amp, Three Pole, AS-Frame",,,,,,Current Rating [A],25 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,AS,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),25,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),75%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLAST0032 - MCCB, Adjustable Thermal & Fixed Magnetic, 32 Amp, Three Pole, AS-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLAST0032,,IHLAST0032,7455,,Piece,Each,1,"Havells IHLAST0032 - MCCB, Adjustable Thermal & Fixed Magnetic, 32 Amp, Three Pole, AS-Frame",,,,,,Current Rating [A],32 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,AS,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),25,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),75%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
"Havells IHLAST0040 - MCCB, Adjustable Thermal & Fixed Magnetic, 40 Amp, Three Pole, AS-Frame",Havells,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,Adjustable Thermal & Fixed Magnetic,IHLAST0040,,IHLAST0040,7455,,Piece,Each,1,"Havells IHLAST0040 - MCCB, Adjustable Thermal & Fixed Magnetic, 40 Amp, Three Pole, AS-Frame",,,,,,Current Rating [A],40 Amp,Type of Product,Moulded Case Circuit Breakers,No. of Pole,Three Pole,Frame,AS,Rated Ultimate Shortcircuit Breaking Capacity Icu at 415 V (kA rms),25,Rated Service Short-Circuit Breaking Capacity Ics=% Icu at 415 V (kA rms),75%,,,,,,,,,,,1727773969-Product-MCCB.PNG,,8536,18%,,,,,,,,,1,08-10 Days,
