Name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"GIC TCS1T100- 3 Digit Panel Mount Single Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Single PID Temperature Controller,3 Digit Panel Mount Single Display Temperature Controller,TCS1T100,PR69,TCS1T100,,2140,Piece,Each,1,"GIC TCS1T100- 3 Digit Panel Mount Single Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Single Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,Red,Programming Interface,Front Keys,No. of Digits,3,Supply,90-270 AC/DC,,,,,,,1727946839-Product-single tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS2T100- 3 Digit Panel Mount Single Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,3 Digit Panel Mount Single Display Temperature Controller,TCS2T100,PR69,TCS2T100,,2525,Piece,Each,1,"GIC TCS2T100- 3 Digit Panel Mount Single Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Orange,Programming Interface,"Front Keys, SD card",No. of Digits,3,Supply,90-270 AC/DC,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS4T2A0- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,4 Digit Panel Mount Dual Display Temperature Controller,TCS4T2A0,PR69,TCS4T2A0,,2945,Piece,Each,1,"GIC TCS4T2A0- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Green,Supply,90-270 AC/DC,No. of Digits,4,,,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS4T300- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,4 Digit Panel Mount Dual Display Temperature Controller,TCS4T300,PR69,TCS4T300,,3440,Piece,Each,1,"GIC TCS4T300- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Green,Supply,90-270 AC/DC,No. of Digits,4,,,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS4U4A0- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,4 Digit Panel Mount Dual Display Temperature Controller,TCS4U4A0,PR69,TCS4U4A0,,5075,Piece,Each,1,"GIC TCS4U4A0- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Green,Supply,90-270 AC/DC,No. of Digits,4,,,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS4U50C- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,4 Digit Panel Mount Dual Display Temperature Controller,TCS4U50C,PR69,TCS4U50C,,6970,Piece,Each,1,"GIC TCS4U50C- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Green,Supply,90-270 AC/DC,No. of Digits,4,,,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS4U40C- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,4 Digit Panel Mount Dual Display Temperature Controller,TCS4U40C,PR69,TCS4U40C,,6970,Piece,Each,1,"GIC TCS4U40C- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Green,Supply,90-270 AC/DC,No. of Digits,4,,,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC TCS4U5A0- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",GIC,Instrumentation,Temperature Controller,Dual PID Temperature Controller,4 Digit Panel Mount Dual Display Temperature Controller,TCS4U5A0,PR69,TCS4U5A0,,5075,Piece,Each,1,"GIC TCS4U5A0- 4 Digit Panel Mount Dual Display Temperature Controller, 50/60 Hz",,,,,,Type of Display,Dual Display,Display Size,15 mm,No. of Points,3,Mounting,Panel,Display Color,White and Green,Supply,90-270 AC/DC,No. of Digits,4,,,,,,,,,1727946909-Product-Dual Tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,65 mm,,1,8-10 Days,
"GIC 151B12B- AC Type Digital Temperature Controller 7 Segment, 4 Digit, 50/60 Hz",GIC,Instrumentation,Temperature Controller,AC Type Digital Temperature Controller,"AC Type Digital Temperature Controller 7 Segment, 4 Digit",151B12B,PR69,151B12B,,3175,Piece,Each,1,"GIC 151B12B- AC Type Digital Temperature Controller 7 Segment, 4 Digit, 50/60 Hz",,,,,,Opreating Temperature,0° C to +50° C,Mounting,Flush,Frequency,50/60 Hz,Supply Voltage,110 - 240 VAC,Display Type,7 Segment Display with LED indications,,,,,,,,,,,,,1727947005-Product-AC Type tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,91.5 mm,,1,8-10 Days,
"GIC 151C12B- AC Type Digital Temperature Controller 7 Segment, 4 Digit, 50/60 Hz",GIC,Instrumentation,Temperature Controller,AC Type Digital Temperature Controller,"AC Type Digital Temperature Controller 7 Segment, 4 Digit",151C12B,PR69,151C12B,,3175,Piece,Each,1,"GIC 151C12B- AC Type Digital Temperature Controller 7 Segment, 4 Digit, 50/60 Hz",,,,,,Opreating Temperature,0° C to +50° C,Mounting,Flush,Frequency,50/60 Hz,Supply Voltage,110 - 240 VAC,Display Type,7 Segment Display with LED indications,,,,,,,,,,,,,1727947005-Product-AC Type tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,91.5 mm,,1,8-10 Days,
"GIC 151D12B- AC Type Digital Temperature Controller 7 Segment, 4 Digit, 50/60 Hz",GIC,Instrumentation,Temperature Controller,AC Type Digital Temperature Controller,"AC Type Digital Temperature Controller 7 Segment, 4 Digit",151D12B,PR69,151D12B,,3175,Piece,Each,1,"GIC 151D12B- AC Type Digital Temperature Controller 7 Segment, 4 Digit, 50/60 Hz",,,,,,Opreating Temperature,0° C to +50° C,Mounting,Flush,Frequency,50/60 Hz,Supply Voltage,110 - 240 VAC,Display Type,7 Segment Display with LED indications,,,,,,,,,,,,,1727947005-Product-AC Type tem con.PNG,,9032,18%,,7 Days,,,48 mm,48 mm,91.5 mm,,1,8-10 Days,
